ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,motivo_na,renda_na,Quartos_Banheiros,faixa_idade,Renda_anual_imputada
45,Trabalho,Graduação,São Paulo,79941.0,Ingles,5,1,2002,5,6,False,False,6Q_5B,2000s,79941.0
46,Estudos,Ensino Médio,São Paulo,7500.0,Espanhol,2,18,2022,1,1,False,False,1Q_1B,2010s,7500.0
47,Viagem,Graduação,São Paulo,41728.0,Espanhol,2,6,1994,2,3,False,False,3Q_2B,1990s,41728.0
48,Trabalho,Graduação,São Paulo,52247.25135379061,Espanhol e Ingles,3,12,1977,3,1,False,False,1Q_3B,<1980,52247.25135379061
49,Viagem,Doutorado,São Paulo,72550.0,Ingles,3,25,1980,5,5,False,False,5Q_5B,1980s,72550.0
50,Estudos,Graduação,Taubaté,65486.0,Ingles,4,33,1983,5,5,False,False,5Q_5B,1980s,65486.0
51,Trabalho,Mestrado,São Bernardo,79143.0,Espanhol,3,8,1990,5,6,False,False,6Q_5B,1990s,79143.0
52,Trabalho,Graduação,Campinas,35790.0,Espanhol,2,14,2003,3,2,False,False,2Q_3B,2000s,35790.0
53,Estudos,Graduação,Campinas,82582.0,Espanhol,5,4,2003,5,6,False,False,6Q_5B,2000s,82582.0
54,Estudos,Graduação,São Paulo,66373.0,Ingles,2,1,2004,4,5,False,False,5Q_4B,2000s,66373.0
55,Trabalho,Mestrado,Campinas,83558.5,Ingles,5,26,1981,5,6,False,True,6Q_5B,1980s,83558.5
56,Viagem,Graduação,São Paulo,70287.0,Ingles,4,38,1992,3,5,False,False,5Q_3B,1990s,70287.0
57,Trabalho,Graduação,São Paulo,27938.0,Espanhol,5,11,2014,1,1,False,False,1Q_1B,2010s,27938.0
58,Estudos,Graduação,São Paulo,52247.25135379061,Ingles,1,2,2008,3,1,False,False,1Q_3B,2000s,52247.25135379061
59,Viagem,Doutorado,São Paulo,55954.0,Ingles,3,45,1994,3,4,False,False,4Q_3B,1990s,55954.0
60,Viagem,Mestrado,São Paulo,75777.0,Espanhol e Ingles,4,40,2008,5,6,False,False,6Q_5B,2000s,75777.0
61,Viagem,Graduação,São Paulo,66653.0,Espanhol,2,17,2001,4,5,False,False,5Q_4B,2000s,66653.0
62,Trabalho,Graduação,São Bernardo,61823.0,Ingles,5,26,1978,4,4,False,False,4Q_4B,<1980,61823.0
63,Viagem,Doutorado,São Paulo,67680.0,Ingles,3,9,1977,4,5,False,False,5Q_4B,<1980,67680.0
64,Estudos,Graduação,São Paulo,70666.0,Ingles,3,19,1974,4,5,False,False,5Q_4B,<1980,70666.0
65,Trabalho,Graduação,São Paulo,25721.0,Espanhol,2,2,1997,1,1,False,False,1Q_1B,1990s,25721.0
66,Trabalho,Graduação,São Paulo,32474.0,Ingles,2,28,1993,2,2,False,False,2Q_2B,1990s,32474.0
67,Viagem,Ensino Médio,São Bernardo,88194.0,Ingles,5,21,2005,5,6,False,False,6Q_5B,2000s,88194.0
68,Estudos,Graduação,São Paulo,69096.0,Espanhol,2,11,1984,3,5,False,False,5Q_3B,1980s,69096.0
69,Estudos,Graduação,Rio Branco,74854.0,Ingles,1,28,1996,5,6,False,False,6Q_5B,1990s,74854.0
70,Viagem,Mestrado,São Bernardo,66991.0,Mandarim,3,89,1980,4,5,False,False,5Q_4B,1980s,66991.0
71,Estudos,Ensino Médio,São Paulo,52247.25135379061,Ingles,2,6,1999,3,1,False,False,1Q_3B,1990s,52247.25135379061
72,Viagem,Graduação,São Paulo,65031.0,Ingles,5,23,1985,3,5,False,False,5Q_3B,1980s,65031.0
73,Trabalho,Doutorado,São Bernardo,60631.0,Ingles,3,1,2001,4,4,False,False,4Q_4B,2000s,60631.0
74,Estudos,Graduação,São Bernardo,28332.0,Espanhol e Ingles,3,23,1978,1,1,False,False,1Q_1B,<1980,28332.0
75,Estudos,Graduação,São Bernardo,40246.0,Espanhol,2,11,2003,2,2,False,False,2Q_2B,2000s,40246.0
76,Trabalho,Mestrado,São Bernardo,75251.0,Espanhol,1,14,1998,5,6,False,False,6Q_5B,1990s,75251.0
77,Estudos,Graduação,São Paulo,75825.0,Ingles,3,18,2002,4,6,False,False,6Q_4B,2000s,75825.0
78,Viagem,Ensino Médio,São Paulo,26326.0,Ingles,2,6,2002,1,1,False,False,1Q_1B,2000s,26326.0
79,Trabalho,Graduação,São Paulo,56046.0,Espanhol,3,4,1991,3,4,False,False,4Q_3B,1990s,56046.0
80,Viagem,Graduação,Campinas,29760.0,Espanhol,2,3,2011,1,1,False,False,1Q_1B,2010s,29760.0
81,Estudos,Graduação,São Paulo,26304.0,Espanhol,1,13,1995,1,1,False,False,1Q_1B,1990s,26304.0
82,Viagem,Ensino Médio,São Paulo,23559.0,Espanhol,2,11,1999,1,1,False,False,1Q_1B,1990s,23559.0
83,Trabalho,Mestrado,São Paulo,38620.0,Espanhol,4,11,1989,1,2,False,False,2Q_1B,1980s,38620.0
84,Trabalho,Graduação,São Paulo,81361.0,Ingles,2,9,2013,5,6,False,False,6Q_5B,2010s,81361.0
85,Estudos,Graduação,São Paulo,29440.0,Espanhol,1,12,1986,1,1,False,False,1Q_1B,1980s,29440.0
86,Trabalho,Mestrado,São Bernardo,36138.0,Espanhol,1,7,1996,2,2,True,False,2Q_2B,1990s,36138.0
87,Trabalho,Graduação,São Paulo,50388.0,Espanhol,2,11,1983,3,3,False,False,3Q_3B,1980s,50388.0
88,Viagem,Graduação,Campinas,79593.0,Espanhol,5,11,1999,5,6,True,False,6Q_5B,1990s,79593.0
89,Trabalho,Graduação,São Paulo,54178.0,Ingles,2,39,1993,3,4,False,False,4Q_3B,1990s,54178.0
90,Trabalho,Doutorado,São Paulo,52247.25135379063,Mandarim,3,89,1983,3,1,False,True,1Q_3B,1980s,52247.25135379063
91,Estudos,Graduação,São Bernardo,52247.25135379061,Ingles,2,36,1983,3,1,False,False,1Q_3B,1980s,52247.25135379061
92,Trabalho,Mestrado,São Bernardo,52247.25135379063,Ingles,4,29,1999,3,1,False,True,1Q_3B,1990s,52247.25135379063
93,Trabalho,Mestrado,São Paulo,42394.0,Espanhol,1,6,1998,2,3,False,False,3Q_2B,1990s,42394.0
94,Trabalho,Doutorado,São Bernardo,23626.0,Ingles,3,4,1996,1,1,False,False,1Q_1B,1990s,23626.0
95,Viagem,Graduação,São Paulo,33285.46511627907,Espanhol,3,19,2009,1,2,False,True,2Q_1B,2000s,33285.46511627907
96,Viagem,Graduação,São Paulo,47916.0,Espanhol,3,12,1986,3,3,False,False,3Q_3B,1980s,47916.0
97,Viagem,Graduação,São Paulo,51813.0,Ingles,1,15,1998,3,4,False,False,4Q_3B,1990s,51813.0
98,Estudos,Ensino Médio,São Paulo,78497.0,Espanhol,1,4,1977,4,6,False,False,6Q_4B,<1980,78497.0
99,Trabalho,Doutorado,São Paulo,50150.0,Ingles,5,38,2009,3,3,False,False,3Q_3B,2000s,50150.0
100,Estudos,Ensino Médio,São Paulo,47823.0,Espanhol,3,13,1986,2,3,False,False,3Q_2B,1980s,47823.0
101,Trabalho,Doutorado,São Paulo,34554.0,Mandarim,2,98,1985,2,2,False,False,2Q_2B,1980s,34554.0
102,Estudos,Graduação,São Paulo,85693.0,Espanhol,2,5,2005,5,6,False,False,6Q_5B,2000s,85693.0
103,Estudos,Doutorado,São Paulo,65846.0,Mandarim,5,94,1971,4,5,False,False,5Q_4B,<1980,65846.0
104,Estudos,Graduação,Campinas,87195.0,Espanhol e Ingles,4,51,1985,5,6,False,False,6Q_5B,1980s,87195.0
105,Estudos,Ensino Fundamental,São Paulo,24594.0,Espanhol,3,14,2005,1,1,False,False,1Q_1B,2000s,24594.0
106,Trabalho,Graduação,São Paulo,49096.0,Espanhol,3,16,1990,3,3,False,False,3Q_3B,1990s,49096.0
107,Trabalho,Graduação,São Bernardo,52413.0,Espanhol,2,6,1995,3,4,False,False,4Q_3B,1990s,52413.0
108,Estudos,Graduação,São Paulo,38557.0,Espanhol e Ingles,5,10,2004,2,2,False,False,2Q_2B,2000s,38557.0
109,Viagem,Mestrado,São Paulo,89058.0,Mandarim,4,88,1986,4,6,False,False,6Q_4B,1980s,89058.0
110,Trabalho,Graduação,São Paulo,77298.0,Ingles,5,22,2005,5,6,False,False,6Q_5B,2000s,77298.0
111,Estudos,Doutorado,São Paulo,68126.0,Ingles,2,55,2017,4,5,False,False,5Q_4B,2010s,68126.0
112,Trabalho,Mestrado,Campinas,57288.0,Espanhol,1,15,1989,4,4,False,False,4Q_4B,1980s,57288.0
113,Viagem,Graduação,São Bernardo,86037.0,Ingles,3,26,2017,5,6,False,False,6Q_5B,2010s,86037.0
114,Trabalho,Doutorado,São Paulo,43974.0,Ingles,4,23,2006,2,3,False,False,3Q_2B,2000s,43974.0
115,Estudos,Graduação,Campinas,50785.0,Espanhol,4,12,1988,3,3,False,False,3Q_3B,1980s,50785.0
116,Estudos,Graduação,São Bernardo,90765.0,Ingles,4,15,1996,5,6,False,False,6Q_5B,1990s,90765.0
117,Estudos,Ensino Médio,São Paulo,36550.0,Espanhol,2,14,2004,2,2,False,False,2Q_2B,2000s,36550.0
118,Viagem,Ensino Médio,Campinas,30753.0,Espanhol,1,19,1993,1,2,False,False,2Q_1B,1990s,30753.0
119,Trabalho,Graduação,São Paulo,21918.0,Espanhol,1,9,1995,1,1,False,False,1Q_1B,1990s,21918.0
120,Trabalho,Mestrado,São Bernardo,56129.0,Espanhol e Ingles,2,46,1979,3,4,False,False,4Q_3B,<1980,56129.0
121,Trabalho,Mestrado,Campinas,35931.419117647056,Espanhol,3,6,1993,2,2,False,True,2Q_2B,1990s,35931.419117647056
122,Trabalho,Mestrado,São Paulo,19510.0,Espanhol,3,6,2011,1,1,False,False,1Q_1B,2010s,19510.0
123,Viagem,Graduação,São Paulo,30992.0,Espanhol,1,6,2002,1,2,False,False,2Q_1B,2000s,30992.0
124,Trabalho,Graduação,São Paulo,83043.54545454546,Ingles,4,22,2009,5,6,False,True,6Q_5B,2000s,83043.54545454546
125,Estudos,Ensino Médio,São Paulo,71488.0,Ingles,2,18,1991,4,5,False,False,5Q_4B,1990s,71488.0
126,Viagem,Graduação,São Bernardo,79607.0,Ingles,2,31,2010,5,6,False,False,6Q_5B,2010s,79607.0
127,Trabalho,Mestrado,Campinas,54348.0,Ingles,3,34,1979,3,4,False,False,4Q_3B,<1980,54348.0
128,Trabalho,Doutorado,São Paulo,52247.25135379063,Ingles,3,8,1987,3,1,False,True,1Q_3B,1980s,52247.25135379063
129,Trabalho,Doutorado,São Paulo,77376.0,Mandarim,5,93,1982,5,6,False,False,6Q_5B,1980s,77376.0
130,Viagem,Graduação,São Paulo,62998.0,Ingles,3,1,1978,4,5,False,False,5Q_4B,<1980,62998.0
131,Estudos,Mestrado,São Paulo,61331.0,Ingles,1,1,1984,4,4,True,False,4Q_4B,1980s,61331.0
132,Estudos,Graduação,São Paulo,73037.20833333333,Ingles,4,28,1995,5,5,False,True,5Q_5B,1990s,73037.20833333333
133,Trabalho,Graduação,São Paulo,52247.25135379061,Ingles,2,3,1989,3,1,False,False,1Q_3B,1980s,52247.25135379061
134,Trabalho,Doutorado,Campinas,41551.0,Ingles,2,1,1990,3,3,False,False,3Q_3B,1990s,41551.0
135,Trabalho,Doutorado,São Paulo,62981.0,Ingles,4,26,1993,4,4,False,False,4Q_4B,1990s,62981.0
136,Estudos,Ensino Fundamental,São Paulo,22253.544502617802,Espanhol,2,10,2002,1,1,False,True,1Q_1B,2000s,22253.544502617802
137,Estudos,Doutorado,São Bernardo,33762.0,Mandarim,1,88,1985,2,2,False,False,2Q_2B,1980s,33762.0
138,Viagem,Doutorado,São Paulo,35860.0,Ingles,5,57,1999,2,2,False,False,2Q_2B,1990s,35860.0
139,Trabalho,Doutorado,Taubaté,36921.0,Ingles,4,20,1991,3,2,False,False,2Q_3B,1990s,36921.0
140,Trabalho,Mestrado,Taubaté,92859.0,Mandarim,5,88,2018,5,6,False,False,6Q_5B,2010s,92859.0
141,Trabalho,Mestrado,São Paulo,65104.0,Ingles,4,33,2002,4,5,False,False,5Q_4B,2000s,65104.0
142,Trabalho,Graduação,São Paulo,86111.0,Ingles,4,21,1988,5,6,False,False,6Q_5B,1980s,86111.0
143,Trabalho,Doutorado,São Paulo,68352.0,Ingles,3,19,2000,4,5,False,False,5Q_4B,2000s,68352.0
144,Estudos,Graduação,São Paulo,42035.708333333336,Espanhol,1,12,2014,2,3,False,True,3Q_2B,2010s,42035.708333333336
145,Estudos,Graduação,São Paulo,59809.0,Ingles,1,34,2002,3,4,False,False,4Q_3B,2000s,59809.0
146,Trabalho,Graduação,São Paulo,22253.544502617802,Espanhol e Ingles,3,23,2001,1,1,False,True,1Q_1B,2000s,22253.544502617802
147,Estudos,Graduação,São Paulo,38547.0,Espanhol,3,11,2007,2,2,False,False,2Q_2B,2000s,38547.0
148,Estudos,Ensino Médio,São Paulo,33285.46511627907,Espanhol,1,14,1999,1,2,False,True,2Q_1B,1990s,33285.46511627907
149,Trabalho,Mestrado,São Paulo,49605.0,Espanhol,3,10,1992,3,3,False,False,3Q_3B,1990s,49605.0
150,Trabalho,Mestrado,Campinas,59354.0,Ingles,3,16,1979,5,4,False,False,4Q_5B,<1980,59354.0
151,Trabalho,Graduação,São Paulo,65747.0,Espanhol,2,17,1995,4,5,False,False,5Q_4B,1990s,65747.0
152,Estudos,Ensino Médio,São Paulo,48080.93700787402,Espanhol,4,9,1998,3,3,False,True,3Q_3B,1990s,48080.93700787402
153,Trabalho,Graduação,São Paulo,34176.0,Espanhol,1,24,2014,2,2,False,False,2Q_2B,2010s,34176.0
154,Trabalho,Doutorado,Rio Branco,61010.0,Ingles,2,24,1978,5,4,False,False,4Q_5B,<1980,61010.0
155,Estudos,Graduação,São Paulo,69372.0,Ingles,2,25,1975,4,5,False,False,5Q_4B,<1980,69372.0
156,Trabalho,Graduação,São Paulo,49967.0,Ingles,4,10,1984,3,3,False,False,3Q_3B,1980s,49967.0
157,Trabalho,Graduação,São Bernardo,60199.0,Ingles,3,35,2004,4,4,False,False,4Q_4B,2000s,60199.0
158,Viagem,Graduação,São Paulo,55375.0,Espanhol,2,13,2003,3,4,False,False,4Q_3B,2000s,55375.0
159,Estudos,Graduação,São Bernardo,79934.6888888889,Ingles,1,17,1981,5,6,False,True,6Q_5B,1980s,79934.6888888889
160,Trabalho,Mestrado,São Paulo,30523.0,Espanhol,1,6,1984,1,2,False,False,2Q_1B,1980s,30523.0
161,Estudos,Doutorado,São Paulo,70356.0,Ingles,2,9,1971,4,5,False,False,5Q_4B,<1980,70356.0
162,Trabalho,Graduação,São Paulo,23228.0,Espanhol,4,5,2010,1,1,False,False,1Q_1B,2010s,23228.0
163,Trabalho,Doutorado,São Paulo,74165.0,Ingles,4,28,2001,5,5,False,False,5Q_5B,2000s,74165.0
164,Estudos,Doutorado,São Paulo,157243.0,Mandarim,5,91,1999,4,6,False,False,6Q_4B,1990s,157243.0
165,Estudos,Graduação,São Bernardo,43482.0,Espanhol,4,12,1992,2,3,False,False,3Q_2B,1990s,43482.0
166,Estudos,Graduação,São Paulo,62551.0,Espanhol,2,9,1979,4,4,False,False,4Q_4B,<1980,62551.0
167,Viagem,Graduação,São Paulo,52332.0,Ingles,1,7,1985,3,4,False,False,4Q_3B,1980s,52332.0
168,Estudos,Graduação,São Paulo,66951.0,Espanhol,3,14,2014,3,5,False,False,5Q_3B,2010s,66951.0
169,Viagem,Graduação,São Paulo,26091.0,Espanhol,4,12,1983,1,1,False,False,1Q_1B,1980s,26091.0
170,Estudos,Graduação,São Paulo,33456.0,Espanhol,3,10,1991,2,2,False,False,2Q_2B,1990s,33456.0
171,Viagem,Graduação,São Paulo,28718.0,Espanhol,2,6,2008,1,1,False,False,1Q_1B,2000s,28718.0
172,Trabalho,Graduação,São Paulo,50447.0,Espanhol,1,2,1996,3,3,False,False,3Q_3B,1990s,50447.0
173,Viagem,Doutorado,São Paulo,53537.0,Ingles,4,20,1985,3,4,False,False,4Q_3B,1980s,53537.0
174,Estudos,Graduação,São Paulo,55629.56934306569,Ingles,3,20,1993,3,4,False,True,4Q_3B,1990s,55629.56934306569
175,Trabalho,Doutorado,São Paulo,80427.0,Ingles,3,36,2001,5,6,False,False,6Q_5B,2000s,80427.0
176,Trabalho,Doutorado,São Paulo,83837.0,Ingles,3,27,1974,5,6,False,False,6Q_5B,<1980,83837.0
177,Trabalho,Doutorado,São Paulo,38853.0,Ingles,4,20,1996,2,2,False,False,2Q_2B,1990s,38853.0
178,Trabalho,Graduação,Campinas,38285.0,Ingles,3,32,1985,3,2,False,False,2Q_3B,1980s,38285.0
179,Viagem,Ensino Médio,São Paulo,78497.0,Ingles,4,41,1977,5,6,False,False,6Q_5B,<1980,78497.0
180,Trabalho,Doutorado,São Paulo,51650.0,Ingles,3,28,2002,3,4,False,False,4Q_3B,2000s,51650.0
181,Estudos,Ensino Médio,São Paulo,22253.544502617802,Espanhol,1,8,2014,1,1,False,True,1Q_1B,2010s,22253.544502617802
182,Trabalho,Mestrado,Campinas,66835.0,Mandarim,3,80,1972,5,5,False,False,5Q_5B,<1980,66835.0
183,Trabalho,Mestrado,Campinas,30477.0,Espanhol,4,14,2010,1,2,False,False,2Q_1B,2010s,30477.0
184,Estudos,Ensino Fundamental,São Paulo,28249.0,Espanhol,4,11,1987,1,1,False,False,1Q_1B,1980s,28249.0
185,Trabalho,Graduação,São Paulo,22253.544502617802,Espanhol,3,4,2009,1,1,False,True,1Q_1B,2000s,22253.544502617802
186,Estudos,Doutorado,São Bernardo,32303.0,Ingles,2,20,1996,2,2,False,False,2Q_2B,1990s,32303.0
187,Viagem,Graduação,São Paulo,61286.0,Espanhol e Ingles,4,10,1992,4,4,False,False,4Q_4B,1990s,61286.0
188,Estudos,Graduação,São Paulo,74068.0,Espanhol,2,11,2002,5,5,False,False,5Q_5B,2000s,74068.0
189,Estudos,Doutorado,São Paulo,48080.93700787402,Ingles,4,1,1990,3,3,False,True,3Q_3B,1990s,48080.93700787402
190,Viagem,Ensino Fundamental,São Paulo,24882.0,Espanhol,2,12,2004,1,1,False,False,1Q_1B,2000s,24882.0
191,Trabalho,Doutorado,Campinas,66973.0,Ingles,4,4,2015,4,5,False,False,5Q_4B,2010s,66973.0
192,Estudos,Ensino Médio,Campinas,36640.0,Espanhol,3,6,1926,3,2,False,False,2Q_3B,<1980,36640.0
193,Estudos,Graduação,São Paulo,38872.0,Espanhol e Ingles,4,13,2014,2,2,False,False,2Q_2B,2010s,38872.0
194,Estudos,Graduação,São Paulo,51148.0,Espanhol,4,11,1999,3,3,False,False,3Q_3B,1990s,51148.0
195,Viagem,Graduação,São Paulo,31353.0,Espanhol,4,10,2003,1,2,False,False,2Q_1B,2000s,31353.0
196,Estudos,Mestrado,São Bernardo,69661.0,Ingles,4,15,2006,4,5,True,False,5Q_4B,2000s,69661.0
197,Trabalho,Graduação,Campinas,80067.0,Ingles,4,11,1980,5,6,False,False,6Q_5B,1980s,80067.0
198,Trabalho,Graduação,Campinas,86718.0,Ingles,4,17,1980,5,6,False,False,6Q_5B,1980s,86718.0
199,Estudos,Doutorado,São Bernardo,46854.0,Ingles,4,21,1999,3,3,False,False,3Q_3B,1990s,46854.0
200,Estudos,Graduação,São Paulo,69142.0,Ingles,4,28,1978,4,5,False,False,5Q_4B,<1980,69142.0
201,Trabalho,Graduação,São Paulo,75922.0,Ingles,3,19,1994,4,6,False,False,6Q_4B,1990s,75922.0
202,Estudos,Graduação,São Paulo,63693.0,Espanhol e Ingles,4,15,2004,4,5,False,False,5Q_4B,2000s,63693.0
203,Estudos,Doutorado,Campinas,102160.0,Ingles,2,27,2003,5,6,False,False,6Q_5B,2000s,102160.0
204,Trabalho,Doutorado,São Paulo,42974.15094339623,Ingles,4,21,1991,2,3,False,True,3Q_2B,1990s,42974.15094339623
205,Trabalho,Mestrado,São Paulo,18890.0,Espanhol,3,4,2010,1,1,False,False,1Q_1B,2010s,18890.0
206,Estudos,Graduação,São Paulo,29604.0,Espanhol,3,12,2014,1,1,False,False,1Q_1B,2010s,29604.0
207,Trabalho,Mestrado,São Paulo,48721.0,Espanhol,1,13,1989,3,3,True,False,3Q_3B,1980s,48721.0
208,Trabalho,Graduação,São Paulo,44794.0,Espanhol,1,15,1992,2,3,True,False,3Q_2B,1990s,44794.0
209,Viagem,Graduação,São Paulo,67466.225,Ingles,4,1,1980,4,5,False,True,5Q_4B,1980s,67466.225
210,Estudos,Graduação,São Paulo,46097.0,Espanhol e Ingles,1,26,1982,3,3,False,False,3Q_3B,1980s,46097.0
211,Estudos,Graduação,São Paulo,77972.0,Ingles,4,6,1980,5,6,False,False,6Q_5B,1980s,77972.0
212,Trabalho,Doutorado,São Paulo,42974.15094339623,Ingles,2,18,1994,2,3,False,True,3Q_2B,1990s,42974.15094339623
213,Estudos,Mestrado,São Paulo,46014.0,Espanhol,4,15,2000,3,3,True,False,3Q_3B,2000s,46014.0
214,Trabalho,Graduação,São Bernardo,70951.0,Ingles,3,2,2011,4,5,False,False,5Q_4B,2010s,70951.0
215,Estudos,Graduação,São Paulo,41443.0,Espanhol,3,3,2003,2,3,False,False,3Q_2B,2000s,41443.0
216,Estudos,Ensino Médio,São Paulo,55629.56934306569,Ingles,4,29,2004,3,4,False,True,4Q_3B,2000s,55629.56934306569
217,Viagem,Mestrado,São Bernardo,83790.0,Ingles,2,43,1974,5,6,False,False,6Q_5B,<1980,83790.0
218,Trabalho,Mestrado,São Paulo,44551.0,Espanhol,1,5,1980,3,3,False,False,3Q_3B,1980s,44551.0
219,Trabalho,Graduação,São Bernardo,69508.0,Espanhol,1,13,2006,4,5,False,False,5Q_4B,2000s,69508.0
220,Estudos,Ensino Médio,São Paulo,45204.0,Espanhol,3,13,2014,3,3,False,False,3Q_3B,2010s,45204.0
221,Viagem,Graduação,São Paulo,73037.20833333333,Ingles,4,38,1995,5,5,False,True,5Q_5B,1990s,73037.20833333333
